City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Ituporanga,BR,2021-02-03 16:51:49,-27.4144,-49.6025,95.0,59,77,1.01
138,Roebourne,AU,2021-02-03 16:51:02,-20.7833,117.1333,81.79,80,63,14.9
139,Husavik,IS,2021-02-03 16:51:50,66.0449,-17.3389,17.6,73,0,13.44
140,Algodones,MX,2021-02-03 16:51:51,20.3888,-105.4773,68.0,94,75,2.46
141,Yumen,CN,2021-02-03 16:51:51,40.2833,97.2,27.32,72,31,13.58
142,La Ronge,CA,2021-02-03 16:51:52,55.1001,-105.2842,10.4,79,99,10.36
143,Hilo,US,2021-02-03 16:46:57,19.7297,-155.09,68.0,68,1,8.05
144,Taguatinga,BR,2021-02-03 16:51:53,-12.3857,-46.5711,91.69,44,81,1.59
145,Komsomolskiy,UZ,2021-02-03 16:51:53,40.4272,71.7189,37.4,75,0,6.91
146,Pershotravneve,UA,2021-02-03 16:51:53,51.3929,28.8684,35.13,97,100,8.43
147,Codrington,AU,2021-02-03 16:51:53,-38.2667,141.9667,56.34,78,98,10.13
148,Hovd,MN,2021-02-03 16:51:53,48.0056,91.6419,12.85,84,97,1.54
149,Tessalit,ML,2021-02-03 16:51:53,20.1986,1.0114,85.82,11,13,9.57
150,Funtua,NG,2021-02-03 16:51:54,11.5233,7.3081,84.0,14,0,9.01
151,Harrisonburg,US,2021-02-03 16:47:29,38.4496,-78.8689,39.99,28,1,10.36
152,Honiara,SB,2021-02-03 16:51:54,-9.4333,159.95,78.22,88,100,12.46
153,Ternovskaya,RU,2021-02-03 16:51:54,45.8542,40.4086,51.57,61,100,6.29
154,Palmer,US,2021-02-03 16:46:57,42.1584,-72.3287,33.01,64,75,14.97
155,Waingapu,ID,2021-02-03 16:51:55,-9.6567,120.2641,76.17,89,100,12.82
156,Barstow,US,2021-02-03 16:51:56,34.8986,-117.0228,48.99,66,1,13.8
157,Murighiol,RO,2021-02-03 16:51:56,45.0333,29.1667,39.2,93,0,6.91
158,Bahia Honda,CU,2021-02-03 16:51:56,22.9036,-83.1592,70.57,50,0,8.05
159,Sakata,JP,2021-02-03 16:51:57,38.9167,139.855,28.45,97,100,5.06
160,Richards Bay,ZA,2021-02-03 16:51:57,-28.783,32.0377,76.68,88,96,8.1
161,Terrace Bay,CA,2021-02-03 16:51:57,48.7834,-87.1,21.2,63,20,4.61
