City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Saint-Georges,GD,12.0564,-61.7485,82.4,69,20,18.41,few clouds
106,Isangel,VU,-19.55,169.2667,77.0,88,20,6.98,few clouds
107,Airai,TL,-8.9266,125.4092,61.38,100,100,1.63,overcast clouds
108,Kaitangata,NZ,-46.2817,169.8464,55.0,94,100,4.0,overcast clouds
109,Mastic Beach,US,40.7668,-72.8521,35.6,93,90,6.91,mist
110,Xianyang,CN,34.3378,108.7026,41.0,86,0,2.24,mist
111,Talnakh,RU,69.4865,88.3972,-11.09,88,100,2.53,overcast clouds
112,Waipawa,NZ,-41.4122,175.5153,64.4,88,75,18.41,broken clouds
113,Staryy Nadym,RU,65.6118,72.6842,-23.12,86,74,10.8,broken clouds
114,Sambava,MG,-14.2667,50.1667,78.51,82,100,1.41,moderate rain
115,Thunder Bay,CA,48.4001,-89.3168,1.0,46,40,12.66,scattered clouds
116,Zolotukhino,RU,52.0842,36.3772,12.2,79,90,4.47,light snow
117,Oskaloosa,US,41.2964,-92.6444,8.6,56,1,5.75,clear sky
118,Vila Velha,BR,-20.3297,-40.2925,78.01,94,90,5.75,mist
119,Torbay,CA,47.6666,-52.7314,33.01,86,90,32.21,snow
120,Tautira,PF,-17.7333,-149.15,86.0,62,20,8.05,few clouds
121,Narsaq,GL,60.9167,-46.05,35.6,27,40,29.93,scattered clouds
122,Berlevag,NO,70.8578,29.0864,19.4,73,75,17.27,snow
123,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,4,1.14,clear sky
124,Komsomolskiy,UZ,40.4272,71.7189,48.2,76,90,4.61,mist
125,Ambon,ID,-3.6954,128.1814,84.0,86,98,4.54,overcast clouds
126,Te Anau,NZ,-45.4167,167.7167,46.8,90,100,2.17,overcast clouds
127,Bilibino,RU,68.0546,166.4372,-6.93,87,0,3.13,clear sky
128,Puerto Madryn,AR,-42.7692,-65.0385,76.24,35,100,25.08,overcast clouds
129,Thurso,GB,58.5927,-3.5259,30.2,69,20,14.97,light snow
130,Leningradskiy,RU,69.3833,178.4167,-26.1,83,9,10.78,clear sky
131,Quelimane,MZ,-17.8786,36.8883,82.4,61,20,2.95,few clouds
132,Launceston,AU,-41.45,147.1667,50.0,76,90,6.91,overcast clouds
133,Bowmore,US,34.9421,-79.3031,68.0,59,75,4.61,broken clouds
134,Isla Mujeres,MX,21.2311,-86.731,82.4,69,75,16.11,broken clouds
135,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,88,90,2.3,moderate rain
136,East London,ZA,-33.0153,27.9116,72.86,74,0,4.43,clear sky
137,Ust-Ilimsk,RU,58.0006,102.6619,5.22,91,42,9.71,scattered clouds
138,Northam,GB,51.0333,-4.2167,33.01,71,100,15.01,overcast clouds
139,Sergeyevka,KZ,53.88,67.4158,-15.93,87,100,11.48,overcast clouds
140,Rawson,AR,-43.3002,-65.1023,78.22,33,100,28.19,overcast clouds
141,Georgetown,MY,5.4112,100.3354,80.6,83,20,3.44,few clouds
142,Avera,US,33.194,-82.5271,69.8,77,90,6.91,overcast clouds
143,Vaasa,FI,63.096,21.6158,14.0,92,0,5.75,clear sky
144,Kampot,KH,10.6167,104.1833,75.2,88,20,2.3,few clouds
145,Jamestown,US,42.097,-79.2353,24.01,80,90,10.36,light snow
146,New Norfolk,AU,-42.7826,147.0587,51.01,67,28,1.83,scattered clouds
147,Tual,ID,-5.6667,132.75,82.96,79,80,17.69,light rain
148,Khorinsk,RU,52.1657,109.7726,8.31,92,100,1.92,overcast clouds
149,Barrow,US,71.2906,-156.7887,-29.2,68,1,13.8,haze
150,Mchinji,MW,-13.7984,32.8802,65.62,97,90,0.43,light rain
151,Manaus,BR,-3.1019,-60.025,84.2,74,40,6.91,light rain
152,Vostok,RU,46.4856,135.8833,-5.12,92,100,4.54,overcast clouds
153,Hilo,US,19.7297,-155.09,73.4,68,90,11.5,light rain
154,Dagana,MR,16.5165,-15.5068,84.2,28,0,2.3,clear sky
155,Bethel,US,41.3712,-73.414,28.4,86,90,4.61,light snow
156,Eucaliptus,BO,-17.5833,-67.5167,63.03,37,96,7.67,overcast clouds
